Date Time,VALUE,QUALITY,COMMENT
2017/10/10 00:00:00,1.508,2,
2017/10/11 00:00:00,1.380,2,
2017/10/12 00:00:00,1.305,2,
2017/10/13 00:00:00,1.278,2,
2017/10/14 00:00:00,1.276,2,
2017/10/15 00:00:00,1.328,2,
2017/10/16 00:00:00,1.294,2,
2017/10/17 00:00:00,1.320,2,
2017/10/18 00:00:00,1.270,2,
2017/10/19 00:00:00,1.264,2,
2017/10/20 00:00:00,1.407,2,
2017/10/21 00:00:00,1.328,2,
2017/10/22 00:00:00,1.221,2,
2017/10/23 00:00:00,1.158,2,
2017/10/24 00:00:00,1.153,2,
2017/10/25 00:00:00,1.332,2,
2017/10/26 00:00:00,1.320,2,
2017/10/27 00:00:00,1.327,2,
2017/10/28 00:00:00,1.264,2,
2017/10/29 00:00:00,1.401,2,
2017/10/30 00:00:00,1.237,2,
2017/10/31 00:00:00,1.135,2,
2017/11/01 00:00:00,1.079,2,
2017/11/02 00:00:00,1.037,2,
2017/11/03 00:00:00,1.016,2,
2017/11/04 00:00:00,1.026,2,
2017/11/05 00:00:00,0.979,2,
2017/11/06 00:00:00,0.976,2,
2017/11/07 00:00:00,1.068,2,
2017/11/08 00:00:00,1.048,2,
2017/11/09 00:00:00,1.026,2,
2017/11/10 00:00:00,0.995,2,
2017/11/11 00:00:00,0.972,2,
2017/11/12 00:00:00,1.026,2,
2017/11/13 00:00:00,1.083,2,
2017/11/14 00:00:00,1.216,2,
2017/11/15 00:00:00,1.188,2,
2017/11/16 00:00:00,1.090,2,
2017/11/17 00:00:00,1.036,2,
2017/11/18 00:00:00,1.986,2,
2017/11/19 00:00:00,1.754,2,
2017/11/20 00:00:00,1.401,2,
2017/11/21 00:00:00,1.245,2,
2017/11/22 00:00:00,1.150,2,
2017/11/23 00:00:00,1.080,2,
2017/11/24 00:00:00,1.011,2,
2017/11/25 00:00:00,1.040,2,
2017/11/26 00:00:00,1.019,2,
2017/11/27 00:00:00,1.040,2,
2017/11/28 00:00:00,1.145,2,
2017/11/29 00:00:00,1.262,2,
2017/11/30 00:00:00,1.113,2,
2017/12/01 00:00:00,1.032,2,
2017/12/02 00:00:00,1.125,2,
2017/12/03 00:00:00,1.544,2,
2017/12/04 00:00:00,1.488,2,
2017/12/05 00:00:00,1.350,2,
2017/12/06 00:00:00,1.368,2,
2017/12/07 00:00:00,1.395,2,
2017/12/08 00:00:00,1.327,2,
2017/12/09 00:00:00,1.318,2,
2017/12/10 00:00:00,1.215,2,
2017/12/11 00:00:00,1.118,2,
2017/12/12 00:00:00,1.043,2,
2017/12/13 00:00:00,0.980,15,
2017/12/14 00:00:00,0.927,15,
2017/12/15 00:00:00,0.884,15,
2017/12/16 00:00:00,0.890,15,
2017/12/17 00:00:00,0.877,15,
2017/12/18 00:00:00,0.877,15,
2017/12/19 00:00:00,1.029,15,
2017/12/20 00:00:00,1.000,15,
2017/12/21 00:00:00,0.969,15,
